date,time_symmetry,scale_symmetry,gauge_symmetry,gauge_signed,price_asymmetry
2015-12-31,0.02940215478134231,60477.17408823979,57541.0733733924,178.7097173388529,294.46630859375
2016-01-14,0.03832863916937067,60207.8288432002,57422.6194461782,-420.2177867133405,298.009765625
2016-01-28,0.04487713390914311,64013.198476822,60789.144942704006,-368.7550014613844,141.65625
2016-02-11,0.048561884124650886,63905.28100126445,61053.96669234945,135.67093942520114,-46.610107421875
2016-02-25,0.049425741819692975,61133.34950714917,59141.93880521719,544.1732710917045,-55.12646484375
2016-03-10,0.05332562316862024,57497.42442349462,56048.45057832316,166.65965790477185,-107.160400390625
2016-03-24,0.04757700181165768,53705.85791687171,52535.90984269115,-140.5968714074943,-138.208251953125
2016-04-07,0.038238940190393964,53569.75708653508,54524.87607596517,968.3831774979178,26.895263671875
2016-04-21,0.033707474435245445,49591.73264775394,51366.65920805004,835.3422989433102,35.240966796875
2016-05-05,0.029170895726364953,45939.64407723178,46783.580853001346,844.1960852067828,-70.5
2016-05-19,0.031438098049123786,43681.44676587131,43222.27431253796,292.44564080838063,-4.55322265625
2016-06-02,0.03377998548959294,46147.326814276596,45921.25130513481,968.0264084690696,-28.86083984375
2016-06-16,0.035758281281863036,45901.41641678529,44645.3228621563,231.76522271902422,49.231201171875
2016-06-30,0.03533539635909822,48753.42003537077,48618.07865353679,87.04266999868469,93.8896484375
2016-07-14,0.041546668577643844,47365.2544046649,47575.98071750655,-98.66080186494855,-49.737060546875
2016-07-28,0.038064351181541875,45465.85043326016,46086.08500991344,-13.289115283705087,-6.4453125
2016-08-11,0.036777894368052684,45009.494521871886,46743.66912242185,-482.6469240516444,36.119873046875
2016-08-25,0.03766761542393307,43220.41808592675,44501.61198868079,62.57649776142625,-53.77880859375
2016-09-08,0.03549682447996448,44075.223252961536,43757.31686233766,739.0562513375858,56.452880859375
2016-09-22,0.03213677683432003,44090.13456231444,44358.78710802645,-37.88669203781865,56.007568359375
2016-10-06,0.03018089435707428,45405.28216504881,45857.00822070721,208.1363280072528,51.1959228515625
2016-10-20,0.03365720655603961,43802.19954632147,45394.52264510967,116.93797191442718,-50.082763671875
2016-11-03,0.034710057798036105,43304.02119750992,42877.29827515536,454.61320224342626,31.548583984375
2016-11-17,0.029309152842771566,47195.74088738512,48384.852167688165,469.61943430495467,167.67822265625
2016-12-01,0.02637932434130743,51490.314071868874,54226.71001397993,750.0176339848267,8.112548828125
2016-12-15,0.03266269778041365,54974.16315836244,58140.42964163583,1089.0938059942464,4.2100830078125
2016-12-29,0.03320509744474971,53050.6878974179,54176.506690045106,313.61227196549953,60.5223388671875
2017-01-12,0.03558292089897989,56830.84855717512,59136.51447455951,539.0241943274184,65.741943359375
2017-01-26,0.04581937844934571,53975.36201136238,55345.02685463476,288.0379235250466,69.137451171875
2017-02-09,0.04682367936863682,54789.37310740336,58364.117303880914,332.9668187298678,19.0438232421875
2017-02-23,0.04257692040482285,52138.34577123457,55158.06494956475,25.090589165728034,54.654052734375
2017-03-09,0.03986636285613539,51955.608417142656,56088.41131949329,-138.92450723400475,9.689453125
